Sample Name,Study Assay Measurement,Study Assay Technology Type,Study Assay Technology Platform,organism,Source Name,Label,Array Data File Name,Array Data File Path,Comment[Array Data File Name],Hybridization Assay Name,Factor Value[Genotype],Factor Value[Ionizing Radiation],Factor Value[Treatment],Original Sample Name
GSM1848852,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/+ rapamycin [US84903607_252800514819_S01_GE1_1100_Jul11_1_3],Cy3 dye,GLDS-432_microarray_GSM1848852_US84903607_252800514819_S01_GE1_1100_Jul11_1_3.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848852_US84903607_252800514819_S01_GE1_1100_Jul11_1_3.txt.gz,GLDS-432_microarray_GSM1848852_US84903607_252800514819_S01_GE1_1100_Jul11_1_3.txt.gz,GSM1848852,p53+/-Fbxw7+/+,x-ray radiation week,rapamycin,GSM1848852
GSM1848853,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- rapamycin [US84903607_252800514819_S01_GE1_1100_Jul11_1_4],Cy3 dye,GLDS-432_microarray_GSM1848853_US84903607_252800514819_S01_GE1_1100_Jul11_1_4.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848853_US84903607_252800514819_S01_GE1_1100_Jul11_1_4.txt.gz,GLDS-432_microarray_GSM1848853_US84903607_252800514819_S01_GE1_1100_Jul11_1_4.txt.gz,GSM1848853,p53+/-Fbxw7+/-,x-ray radiation week,rapamycin,GSM1848853
GSM1848854,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- rapamycin [US84903607_252800514819_S01_GE1_1100_Jul11_2_1],Cy3 dye,GLDS-432_microarray_GSM1848854_US84903607_252800514819_S01_GE1_1100_Jul11_2_1.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848854_US84903607_252800514819_S01_GE1_1100_Jul11_2_1.txt.gz,GLDS-432_microarray_GSM1848854_US84903607_252800514819_S01_GE1_1100_Jul11_2_1.txt.gz,GSM1848854,p53+/-Fbxw7+/-,x-ray radiation week,rapamycin,GSM1848854
GSM1848855,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- rapamycin [US84903607_252800514819_S01_GE1_1100_Jul11_2_2],Cy3 dye,GLDS-432_microarray_GSM1848855_US84903607_252800514819_S01_GE1_1100_Jul11_2_2.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848855_US84903607_252800514819_S01_GE1_1100_Jul11_2_2.txt.gz,GLDS-432_microarray_GSM1848855_US84903607_252800514819_S01_GE1_1100_Jul11_2_2.txt.gz,GSM1848855,p53+/-Fbxw7+/-,x-ray radiation week,rapamycin,GSM1848855
GSM1848856,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- placebo [US84903607_252800514819_S01_GE1_1100_Jul11_2_3],Cy3 dye,GLDS-432_microarray_GSM1848856_US84903607_252800514819_S01_GE1_1100_Jul11_2_3.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848856_US84903607_252800514819_S01_GE1_1100_Jul11_2_3.txt.gz,GLDS-432_microarray_GSM1848856_US84903607_252800514819_S01_GE1_1100_Jul11_2_3.txt.gz,GSM1848856,p53+/-Fbxw7+/-,x-ray radiation week,placebo,GSM1848856
GSM1848857,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/+ rapamycin [US84903607_252800514819_S01_GE1_1100_Jul11_2_4],Cy3 dye,GLDS-432_microarray_GSM1848857_US84903607_252800514819_S01_GE1_1100_Jul11_2_4.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848857_US84903607_252800514819_S01_GE1_1100_Jul11_2_4.txt.gz,GLDS-432_microarray_GSM1848857_US84903607_252800514819_S01_GE1_1100_Jul11_2_4.txt.gz,GSM1848857,p53+/-Fbxw7+/+,x-ray radiation week,rapamycin,GSM1848857
GSM1848858,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- placebo [US84903607_252800514820_S01_GE1_1100_Jul11_1_1],Cy3 dye,GLDS-432_microarray_GSM1848858_US84903607_252800514820_S01_GE1_1100_Jul11_1_1.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848858_US84903607_252800514820_S01_GE1_1100_Jul11_1_1.txt.gz,GLDS-432_microarray_GSM1848858_US84903607_252800514820_S01_GE1_1100_Jul11_1_1.txt.gz,GSM1848858,p53+/-Fbxw7+/-,x-ray radiation week,placebo,GSM1848858
GSM1848859,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- placebo [US84903607_252800514820_S01_GE1_1100_Jul11_1_2],Cy3 dye,GLDS-432_microarray_GSM1848859_US84903607_252800514820_S01_GE1_1100_Jul11_1_2.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848859_US84903607_252800514820_S01_GE1_1100_Jul11_1_2.txt.gz,GLDS-432_microarray_GSM1848859_US84903607_252800514820_S01_GE1_1100_Jul11_1_2.txt.gz,GSM1848859,p53+/-Fbxw7+/-,x-ray radiation week,placebo,GSM1848859
GSM1848860,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/+ placebo [US84903607_252800514820_S01_GE1_1100_Jul11_1_3],Cy3 dye,GLDS-432_microarray_GSM1848860_US84903607_252800514820_S01_GE1_1100_Jul11_1_3.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848860_US84903607_252800514820_S01_GE1_1100_Jul11_1_3.txt.gz,GLDS-432_microarray_GSM1848860_US84903607_252800514820_S01_GE1_1100_Jul11_1_3.txt.gz,GSM1848860,p53+/-Fbxw7+/+,x-ray radiation week,placebo,GSM1848860
GSM1848861,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- rapamycin [US84903607_252800514820_S01_GE1_1100_Jul11_1_4],Cy3 dye,GLDS-432_microarray_GSM1848861_US84903607_252800514820_S01_GE1_1100_Jul11_1_4.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848861_US84903607_252800514820_S01_GE1_1100_Jul11_1_4.txt.gz,GLDS-432_microarray_GSM1848861_US84903607_252800514820_S01_GE1_1100_Jul11_1_4.txt.gz,GSM1848861,p53+/-Fbxw7+/-,x-ray radiation week,rapamycin,GSM1848861
GSM1848862,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- placebo [US84903607_252800514820_S01_GE1_1100_Jul11_2_1],Cy3 dye,GLDS-432_microarray_GSM1848862_US84903607_252800514820_S01_GE1_1100_Jul11_2_1.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848862_US84903607_252800514820_S01_GE1_1100_Jul11_2_1.txt.gz,GLDS-432_microarray_GSM1848862_US84903607_252800514820_S01_GE1_1100_Jul11_2_1.txt.gz,GSM1848862,p53+/-Fbxw7+/-,x-ray radiation week,placebo,GSM1848862
GSM1848863,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- placebo [US84903607_252800514820_S01_GE1_1100_Jul11_2_2],Cy3 dye,GLDS-432_microarray_GSM1848863_US84903607_252800514820_S01_GE1_1100_Jul11_2_2.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848863_US84903607_252800514820_S01_GE1_1100_Jul11_2_2.txt.gz,GLDS-432_microarray_GSM1848863_US84903607_252800514820_S01_GE1_1100_Jul11_2_2.txt.gz,GSM1848863,p53+/-Fbxw7+/-,x-ray radiation week,placebo,GSM1848863
GSM1848864,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/+ placebo [US84903607_252800514820_S01_GE1_1100_Jul11_2_3],Cy3 dye,GLDS-432_microarray_GSM1848864_US84903607_252800514820_S01_GE1_1100_Jul11_2_3.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848864_US84903607_252800514820_S01_GE1_1100_Jul11_2_3.txt.gz,GLDS-432_microarray_GSM1848864_US84903607_252800514820_S01_GE1_1100_Jul11_2_3.txt.gz,GSM1848864,p53+/-Fbxw7+/+,x-ray radiation week,placebo,GSM1848864
GSM1848865,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/+ rapamycin [US84903607_252800514820_S01_GE1_1100_Jul11_2_4],Cy3 dye,GLDS-432_microarray_GSM1848865_US84903607_252800514820_S01_GE1_1100_Jul11_2_4.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848865_US84903607_252800514820_S01_GE1_1100_Jul11_2_4.txt.gz,GLDS-432_microarray_GSM1848865_US84903607_252800514820_S01_GE1_1100_Jul11_2_4.txt.gz,GSM1848865,p53+/-Fbxw7+/+,x-ray radiation week,rapamycin,GSM1848865
GSM1848866,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/+ rapamycin [US84903607_252800514821_S01_GE1_1100_Jul11_1_1],Cy3 dye,GLDS-432_microarray_GSM1848866_US84903607_252800514821_S01_GE1_1100_Jul11_1_1.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848866_US84903607_252800514821_S01_GE1_1100_Jul11_1_1.txt.gz,GLDS-432_microarray_GSM1848866_US84903607_252800514821_S01_GE1_1100_Jul11_1_1.txt.gz,GSM1848866,p53+/-Fbxw7+/+,x-ray radiation week,rapamycin,GSM1848866
GSM1848867,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/+ rapamycin [US84903607_252800514821_S01_GE1_1100_Jul11_1_2],Cy3 dye,GLDS-432_microarray_GSM1848867_US84903607_252800514821_S01_GE1_1100_Jul11_1_2.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848867_US84903607_252800514821_S01_GE1_1100_Jul11_1_2.txt.gz,GLDS-432_microarray_GSM1848867_US84903607_252800514821_S01_GE1_1100_Jul11_1_2.txt.gz,GSM1848867,p53+/-Fbxw7+/+,x-ray radiation week,rapamycin,GSM1848867
GSM1848868,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/+ placebo [US84903607_252800514821_S01_GE1_1100_Jul11_1_3],Cy3 dye,GLDS-432_microarray_GSM1848868_US84903607_252800514821_S01_GE1_1100_Jul11_1_3.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848868_US84903607_252800514821_S01_GE1_1100_Jul11_1_3.txt.gz,GLDS-432_microarray_GSM1848868_US84903607_252800514821_S01_GE1_1100_Jul11_1_3.txt.gz,GSM1848868,p53+/-Fbxw7+/+,x-ray radiation week,placebo,GSM1848868
GSM1848869,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- rapamycin [US84903607_252800514821_S01_GE1_1100_Jul11_1_4],Cy3 dye,GLDS-432_microarray_GSM1848869_US84903607_252800514821_S01_GE1_1100_Jul11_1_4.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848869_US84903607_252800514821_S01_GE1_1100_Jul11_1_4.txt.gz,GLDS-432_microarray_GSM1848869_US84903607_252800514821_S01_GE1_1100_Jul11_1_4.txt.gz,GSM1848869,p53+/-Fbxw7+/-,x-ray radiation week,rapamycin,GSM1848869
GSM1848870,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/+ rapamycin [US84903607_252800514821_S01_GE1_1100_Jul11_2_1],Cy3 dye,GLDS-432_microarray_GSM1848870_US84903607_252800514821_S01_GE1_1100_Jul11_2_1.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848870_US84903607_252800514821_S01_GE1_1100_Jul11_2_1.txt.gz,GLDS-432_microarray_GSM1848870_US84903607_252800514821_S01_GE1_1100_Jul11_2_1.txt.gz,GSM1848870,p53+/-Fbxw7+/+,x-ray radiation week,rapamycin,GSM1848870
GSM1848871,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/+ placebo [US84903607_252800514821_S01_GE1_1100_Jul11_2_2],Cy3 dye,GLDS-432_microarray_GSM1848871_US84903607_252800514821_S01_GE1_1100_Jul11_2_2.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848871_US84903607_252800514821_S01_GE1_1100_Jul11_2_2.txt.gz,GLDS-432_microarray_GSM1848871_US84903607_252800514821_S01_GE1_1100_Jul11_2_2.txt.gz,GSM1848871,p53+/-Fbxw7+/+,x-ray radiation week,placebo,GSM1848871
GSM1848872,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/+ rapamycin [US84903607_252800514821_S01_GE1_1100_Jul11_2_3],Cy3 dye,GLDS-432_microarray_GSM1848872_US84903607_252800514821_S01_GE1_1100_Jul11_2_3.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848872_US84903607_252800514821_S01_GE1_1100_Jul11_2_3.txt.gz,GLDS-432_microarray_GSM1848872_US84903607_252800514821_S01_GE1_1100_Jul11_2_3.txt.gz,GSM1848872,p53+/-Fbxw7+/+,x-ray radiation week,rapamycin,GSM1848872
GSM1848873,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/+ placebo [US84903607_252800514821_S01_GE1_1100_Jul11_2_4],Cy3 dye,GLDS-432_microarray_GSM1848873_US84903607_252800514821_S01_GE1_1100_Jul11_2_4.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848873_US84903607_252800514821_S01_GE1_1100_Jul11_2_4.txt.gz,GLDS-432_microarray_GSM1848873_US84903607_252800514821_S01_GE1_1100_Jul11_2_4.txt.gz,GSM1848873,p53+/-Fbxw7+/+,x-ray radiation week,placebo,GSM1848873
GSM1848874,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/+ placebo [US84903607_252800514825_S01_GE1_1100_Jul11_1_1],Cy3 dye,GLDS-432_microarray_GSM1848874_US84903607_252800514825_S01_GE1_1100_Jul11_1_1.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848874_US84903607_252800514825_S01_GE1_1100_Jul11_1_1.txt.gz,GLDS-432_microarray_GSM1848874_US84903607_252800514825_S01_GE1_1100_Jul11_1_1.txt.gz,GSM1848874,p53+/-Fbxw7+/+,x-ray radiation week,placebo,GSM1848874
GSM1848875,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- placebo [US84903607_252800514825_S01_GE1_1100_Jul11_1_2],Cy3 dye,GLDS-432_microarray_GSM1848875_US84903607_252800514825_S01_GE1_1100_Jul11_1_2.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848875_US84903607_252800514825_S01_GE1_1100_Jul11_1_2.txt.gz,GLDS-432_microarray_GSM1848875_US84903607_252800514825_S01_GE1_1100_Jul11_1_2.txt.gz,GSM1848875,p53+/-Fbxw7+/-,x-ray radiation week,placebo,GSM1848875
GSM1848876,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- rapamycin [US84903607_252800514825_S01_GE1_1100_Jul11_1_3],Cy3 dye,GLDS-432_microarray_GSM1848876_US84903607_252800514825_S01_GE1_1100_Jul11_1_3.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848876_US84903607_252800514825_S01_GE1_1100_Jul11_1_3.txt.gz,GLDS-432_microarray_GSM1848876_US84903607_252800514825_S01_GE1_1100_Jul11_1_3.txt.gz,GSM1848876,p53+/-Fbxw7+/-,x-ray radiation week,rapamycin,GSM1848876
GSM1848877,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- rapamycin [US84903607_252800514825_S01_GE1_1100_Jul11_1_4],Cy3 dye,GLDS-432_microarray_GSM1848877_US84903607_252800514825_S01_GE1_1100_Jul11_1_4.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848877_US84903607_252800514825_S01_GE1_1100_Jul11_1_4.txt.gz,GLDS-432_microarray_GSM1848877_US84903607_252800514825_S01_GE1_1100_Jul11_1_4.txt.gz,GSM1848877,p53+/-Fbxw7+/-,x-ray radiation week,rapamycin,GSM1848877
GSM1848878,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- rapamycin [US84903607_252800514825_S01_GE1_1100_Jul11_2_1],Cy3 dye,GLDS-432_microarray_GSM1848878_US84903607_252800514825_S01_GE1_1100_Jul11_2_1.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848878_US84903607_252800514825_S01_GE1_1100_Jul11_2_1.txt.gz,GLDS-432_microarray_GSM1848878_US84903607_252800514825_S01_GE1_1100_Jul11_2_1.txt.gz,GSM1848878,p53+/-Fbxw7+/-,x-ray radiation week,rapamycin,GSM1848878
GSM1848879,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- placebo [US84903607_252800514825_S01_GE1_1100_Jul11_2_2],Cy3 dye,GLDS-432_microarray_GSM1848879_US84903607_252800514825_S01_GE1_1100_Jul11_2_2.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848879_US84903607_252800514825_S01_GE1_1100_Jul11_2_2.txt.gz,GLDS-432_microarray_GSM1848879_US84903607_252800514825_S01_GE1_1100_Jul11_2_2.txt.gz,GSM1848879,p53+/-Fbxw7+/-,x-ray radiation week,placebo,GSM1848879
GSM1848880,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- placebo [US84903607_252800514825_S01_GE1_1100_Jul11_2_3],Cy3 dye,GLDS-432_microarray_GSM1848880_US84903607_252800514825_S01_GE1_1100_Jul11_2_3.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848880_US84903607_252800514825_S01_GE1_1100_Jul11_2_3.txt.gz,GLDS-432_microarray_GSM1848880_US84903607_252800514825_S01_GE1_1100_Jul11_2_3.txt.gz,GSM1848880,p53+/-Fbxw7+/-,x-ray radiation week,placebo,GSM1848880
